dataset,modelId,label,action,outcome,result,entryScore,confidence,grade,risk,distanceAtCommit
Genesis-019,snapback_reversal,Snapback Guard,UNDER,UNDER,win,19,82,B+,Low,-34.62000000000262
Genesis-019,odds_pressure,Odds Pressure,UNDER,UNDER,win,19,82,B+,Low,-34.62000000000262
Genesis-019,meta_judge,Meta Judge,UNDER,UNDER,win,19,82,B+,Low,-34.62000000000262
Genesis-019,core_v30,Core V30,UNDER,UNDER,win,16,82,B+,Low,-35.720000000001164
Genesis-019,v31_active,V31 Active,UNDER,UNDER,win,16,82,B+,Low,-35.720000000001164
Genesis-019,v32_regime,V32 Regime,UNDER,UNDER,win,16,82,B+,Low,-35.720000000001164
Genesis-019,v33_pro,V33 Pro Trader,UNDER,UNDER,win,16,82,B+,Low,-35.720000000001164
Genesis-019,six_minute_commit,6m Commit,UNDER,UNDER,win,16,82,B+,Low,-35.720000000001164
Genesis-019,late_catch,Late Catch,UNDER,UNDER,win,16,82,B+,Low,-35.720000000001164
Genesis-019,trend_continuation,Trend Follow,UNDER,UNDER,win,16,82,B+,Low,-35.720000000001164
Genesis-019,snapback_reversal,Snapback Guard,SKIP,UNDER,skipped,16,82,B+,Low,-35.720000000001164
Genesis-019,odds_pressure,Odds Pressure,UNDER,UNDER,win,16,82,B+,Low,-35.720000000001164
Genesis-019,meta_judge,Meta Judge,UNDER,UNDER,win,16,82,B+,Low,-35.720000000001164
Genesis-019,core_v30,Core V30,SKIP,OVER,skipped,59,59,D,Low,32.75
Genesis-019,v31_active,V31 Active,SKIP,OVER,skipped,59,59,D,Low,32.75
Genesis-019,v32_regime,V32 Regime,SKIP,OVER,skipped,59,59,D,Low,32.75
Genesis-019,v33_pro,V33 Pro Trader,SKIP,OVER,skipped,59,59,D,Low,32.75
Genesis-019,six_minute_commit,6m Commit,SKIP,OVER,skipped,59,59,D,Low,32.75
Genesis-019,late_catch,Late Catch,SKIP,OVER,skipped,59,59,D,Low,32.75
Genesis-019,trend_continuation,Trend Follow,SKIP,OVER,skipped,59,59,D,Low,32.75
Genesis-019,snapback_reversal,Snapback Guard,SKIP,OVER,skipped,59,59,D,Low,32.75
Genesis-019,odds_pressure,Odds Pressure,SKIP,OVER,skipped,59,59,D,Low,32.75
Genesis-019,meta_judge,Meta Judge,SKIP,OVER,skipped,59,59,D,Low,32.75
Genesis-019,core_v30,Core V30,SKIP,UNDER,skipped,71,73,B,Low,23.119999999995343
Genesis-019,v31_active,V31 Active,OVER,UNDER,loss,71,73,B,Low,23.119999999995343
Genesis-019,v32_regime,V32 Regime,SKIP,UNDER,skipped,71,73,B,Low,23.119999999995343
